ATS,COD_ENTE,DENOM_ENTE,COD_STRUTTURA,COD_SUB,DENOM_STRUTTURA,COD_TIPO_STR,DESCR_TIPO_STR,DATA_APERTURA,DATA_CHIUSURA,INDIRIZZO,CAP,LOCALITA,TELEFONO,FAX,LIV_EMERG,PS_PEDIATRICO
321,708,ASST MELEGNANO E DELLA MARTESANA,030072,02,OSPEDALE A. ZAPPATONI-CASSANO D'ADDA,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/2015 12:00:00 AM,,VIA QUINTINO DI VONA 41,20062,CASSANO D'ADDA,03633651,03633657005,Senza livello emergenza,
321,708,ASST MELEGNANO E DELLA MARTESANA,030085,00,OSPEDALE UBOLDO - CERNUSCO S/NAVIGLIO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1984 12:00:00 AM,,VIA UBOLDO 21,20060,CERNUSCO SUL NAVIGLIO,02  923601,0292360347,PS-PPI,X
321,708,ASST MELEGNANO E DELLA MARTESANA,030085,01,OSPEDALE UBOLDO - CERNUSCO S/NAVIGLIO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/2015 12:00:00 AM,,VIA UBOLDO 21,20063,CERNUSCO SUL NAVIGLIO,02923601,0292360347,PS,X
325,325,ATS DI BERGAMO,030379,00,HABILITA IST.CLINICO-OSP.LE DI SARNICO,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/01/2008 12:00:00 AM,,"VIA P.A. FACCANONI, 6",24067,SARNICO,035918111,035913856,Senza livello emergenza,
321,704,ASST CENTRO SPEC. ORT. TRAUMATOLOGICO G.PINI/CTO,030911,00,ISTITUTO ORTOPEDICO GAETANO PINI - MILANO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1995 12:00:00 AM,,"PIAZZA A. CARDINAL FERRARI, 1",20122,MILANO,02582961,0258296500,EAS-PS,
321,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030110,00,CASA DI CURA S. GIOVANNI - MILANO,51,CASA DI CURA ACCREDITATA A CONTRATTO,03/01/1968 12:00:00 AM,,VIA MATTEO CIVITALI 71,20148,MILANO,02 4047645,0248705681,Senza livello emergenza,
321,705,ASST OVEST MILANESE,030074,00,OSPEDALE DI MAGENTA - ABBIATEGRASSO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1995 12:00:00 AM,,VIA AL DONATORE DI SANGUE   N.50,20013,MAGENTA,02979631,0297963235,DEA-PS,X
322,712,ASST LARIANA,030026,00,OSPEDALE ERBA-  RENALDI - MENAGGIO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,08/01/1986 12:00:00 AM,,"VIA CASARTELLI, 7",22017,MENAGGIO,034433111,034430083,PS,
321,703,ASST FATEBENEFRATELLI SACCO,030916,00,OSPEDALE L. SACCO - MILANO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1995 12:00:00 AM,,VIA GIOVAN BATTISTA GRASSI 74,20157,MILANO,02  39042366,,DEA-PS,X
326,722,ASST DELLA FRANCIACORTA,030154,01,PRESIDIO OSPEDALIERO DI CHIARI,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/2010 12:00:00 AM,,VIALE MAZZINI 8,25032,CHIARI,03071021,,DEA-PS,
326,326,ATS DI BRESCIA,030295,00,FONDAZIONE POLIAMBULANZA - BRESCIA,51,CASA DI CURA ACCREDITATA A CONTRATTO,10/01/1997 12:00:00 AM,,VIA BISSOLATI N. 57,25124,BRESCIA,03035151,0303515351,EAS-PS,
327,327,ATS DELLA VAL PADANA,030355,00,OSPEDALE DI SUZZARA S.P.A.,51,CASA DI CURA ACCREDITATA A CONTRATTO,11/01/2004 12:00:00 AM,,"VIA G. CANTORE, 14/B",46029,SUZZARA,03765171,0376517504,PS,
324,944,ISTITUTI CL. SCIENTIFICI MAUGERI SPA SB - LISSONE,030944,00,IRCCS CENTRO MEDICO DI LISSONE,32,ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO - PRIVATO,10/01/2005 12:00:00 AM,,"VIA BERNASCONI, 16",20851,LISSONE,039 4657277,039 4657279,Senza livello emergenza,
324,717,ASST DELLA BRIANZA,030078,00,PRESIDIO OSPEDALIERO DI VIMERCATE,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1984 12:00:00 AM,,"VIA SANTI COSMA E DAMIANO, 10",20871,VIMERCATE,039 66541,0396654568,DEA-PS,X
328,945,ISTITUTI CL.  SCIENTIFICI MAUGERI SPA SB DI PAVIA,030945,00,IRCCS ISTITUTO SCIENTIFICO DI PAVIA,32,ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO - PRIVATO,01/01/2005 12:00:00 AM,,VIA BOEZIO 26-28,27100,PAVIA,03825931,0382593081,Senza livello emergenza,
321,925,"FONDAZ. IRCCS CA' GRANDA-OSP. MAG. POLICLINICO,",030925,00,FONDAZ.IRCCS CA' GRANDA - OSPEDALE MAGGIORE POLICLINICO,33,ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO - FONDAZIONE,02/01/2005 12:00:00 AM,,"VIA FRANCESCO SFORZA, 28",20122,MILANO,02  55033202,02550185528,EAS-PS,X
322,710,ASST DEI SETTE LAGHI,030901,01,OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/2015 12:00:00 AM,,VIALE LUIGI BORRI 57,21100,VARESE,0332278111,0332810703,EAS-PS,
322,322,ATS DELL'INSUBRIA,030035,00,C.O.F. LANZO HOSPITAL - ALTA VALLE INTELVI,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/02/1953 12:00:00 AM,,"LOCALITA' MONTE CASLE', 5",22020,ALTA VALLE INTELVI,031 843111,031841368,PPI,
322,710,ASST DEI SETTE LAGHI,030010,00,OSPEDALE GALMARINI - TRADATE,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1984 12:00:00 AM,,PIAZZA ANGELO ZANABONI,21049,TRADATE,0331817111,0331845196,PS,X
328,727,ASST DI PAVIA,030193,00,OSPEDALE CIVILE - VIGEVANO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1984 12:00:00 AM,,CORSO MILANO 19,27029,VIGEVANO,03813331,038188175,DEA-PS,
326,721,ASST DEGLI SPEDALI CIVILI DI BRESCIA,030159,00,PRESIDIO OSPEDALIERO DI MONTICHIARI,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1988 12:00:00 AM,,VIA CIOTTI 154,25018,MONTICHIARI,030 99631,0309963314,PS,
326,722,ASST DELLA FRANCIACORTA,030163,00,PRESIDIO OSPEDALIERO DI ISEO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1984 12:00:00 AM,,"VIA GIARDINI GARIBALDI,7",25049,ISEO,03098871,,PS,
321,936,IST.AUXOLOGICO ITALIANO,030936,00,IST.AUXOLOGICO ITALIANO - MILANO,32,ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO - PRIVATO,01/01/1995 12:00:00 AM,,"VIA LUDOVICO ARIOSTO, 13",20145,MILANO,02619112448,02619112204,PS,
321,707,ASST NORD MILANO,030058,00,OSPEDALE BASSINI - CINISELLO BALSAMO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/2009 12:00:00 AM,,VIA GORKI 50,20092,CINISELLO BALSAMO,0257991,0257998446,DEA-PS,X
321,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030378,00,CENTRO CLINICO NEMO - FOND. SERENA - MILANO,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/01/2008 12:00:00 AM,,P.ZZA OSPEDALE MAGGIORE 3,20162,MILANO,029143371,02914337200,Senza livello emergenza,
321,709,ASST DI LODI,030083,00,OSPEDALE DELMATI - SANT'ANGELO LODIGIANO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1984 12:00:00 AM,,STRADA PROVINCIALE 19,26866,SANT'ANGELO LODIGIANO,03712511,0371373298,Senza livello emergenza,
328,939,ISTITUTO MONDINO - PAVIA,030939,00,FOND.IST.NEUROL.C.MONDINO-PAVIA,32,ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO - PRIVATO,01/01/1995 12:00:00 AM,,"VIA MONDINO,2",27100,PAVIA,03823801,0382380206,Senza livello emergenza,
326,326,ATS DI BRESCIA,030362,00,RESIDENZA ANNI AZZURRI - REZZATO,51,CASA DI CURA ACCREDITATA A CONTRATTO,02/01/2006 12:00:00 AM,,"VIA SBERNA, 4/6",25086,REZZATO,030 2590742,0302791112,Senza livello emergenza,
325,719,ASST DI BERGAMO OVEST,030719,00,ASST DI BERGAMO OVEST,0,AZIENDA OSPEDALIERA,01/01/2016 12:00:00 AM,,P.LE OSPEDALE N. 1,24047,TREVIGLIO,03634241,,Senza livello emergenza,
328,727,ASST DI PAVIA,030727,00,ASST DI PAVIA,0,AZIENDA OSPEDALIERA,01/01/2016 12:00:00 AM,,VIALE REPUBBLICA N. 34,27100,PAVIA,0382530589,0382531174,Senza livello emergenza,
321,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030105,00,CASA DI CURA S. CAMILLO - MILANO,52,CASA DI CURA ACCREDITATA NON A CONTRATTO,05/01/1967 12:00:00 AM,,VIA MAURO MACCHI 5,20124,MILANO,02  675021,02 67502253,Senza livello emergenza,
323,714,ASST DELLA VALCAMONICA,030274,01,OSPEDALE VALCAMONICA - ESINE,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,12/01/1992 12:00:00 AM,,VIA MANZONI 142,25040,ESINE,03643691,0364369275,DEA-PS,
327,725,ASST DI MANTOVA,030725,00,ASST DI MANTOVA,0,AZIENDA OSPEDALIERA,01/01/2016 12:00:00 AM,,STRADA LAGO PAIOLO N. 10,46100,MANTOVA,03762011,0376324250,Senza livello emergenza,
326,721,ASST DEGLI SPEDALI CIVILI DI BRESCIA,030167,00,OSPEDALE DEI BAMBINI - BRESCIA,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1988 12:00:00 AM,,P.LE SPEDALI CIVILI 1,25123,BRESCIA,030 39951,0303996108,EAS-PS,X
328,938,ISTITUTI CL. SCIENTIFICI MAUGERI SPA SB - PAVIA,030938,00,IRCCS CENTRO MEDICO DI PAVIA,32,ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO - PRIVATO,01/01/1995 12:00:00 AM,,"VIA SALVATORE MAUGERI, 10/10A",27100,PAVIA,03825921,0382592081,Senza livello emergenza,
321,936,IST.AUXOLOGICO ITALIANO,030936,01,IST.AUXOLOGICO ITALIANO-I.S. S.LUCA-MILANO,32,ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO - PRIVATO,01/01/1995 12:00:00 AM,,PIAZZALE BRESCIA 20,20149,MILANO,02619112448,02619112204,PS,
321,936,IST.AUXOLOGICO ITALIANO,030936,03,IRCCS OSPEDALE CAPITANIO,32,ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO - PRIVATO,05/01/2016 12:00:00 AM,,"VIA MERCALLI,28",20155,MILANO,02619112248,02619112204,Senza livello emergenza,
323,713,ASST DELLA VALTELLINA E DELL'ALTO LARIO,030042,00,OSPEDALE SONDRIO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1984 12:00:00 AM,,VIA STELVIO 25,23100,SONDRIO,0342521111,0342521368,DEA-PS,X
322,322,ATS DELL'INSUBRIA,030037,00,CASA DI CURA VILLA S. BENEDETTO-ALBESE,51,CASA DI CURA ACCREDITATA A CONTRATTO,03/01/1956 12:00:00 AM,,VIA ROMA 16,22032,ALBESE CON CASSANO,031 4291511,031427246,Senza livello emergenza,
321,707,ASST NORD MILANO,030051,00,P.O.  CITTA' DI SESTO S. GIOVANNI,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/2009 12:00:00 AM,,VIALE MATTEOTTI 83,20099,SESTO SAN GIOVANNI,0257999332,0257991,DEA-PS,X
325,325,ATS DI BERGAMO,030384,00,C.R.C. MALATTIE RARE ALDO E CELE DACCO'-RANICA,52,CASA DI CURA ACCREDITATA NON A CONTRATTO,04/01/2009 12:00:00 AM,,"VIA CAMOZZI,3",24020,RANICA,03545351,0354535371,Senza livello emergenza,
321,706,ASST RHODENSE,030066,00,OSPEDALE G.SALVINI-GARBAGNATE MIL.SE,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1984 12:00:00 AM,,VIALE FORLANINI 95,20024,GARBAGNATE MILANESE,02 994301,02994302578,DEA-PS,
322,710,ASST DEI SETTE LAGHI,030901,00,PRESIDIO OSPEDALIERO DI VARESE,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1995 12:00:00 AM,,VIALE LUIGI BORRI 57,21100,VARESE,0332278111,0332810703,EAS-PS-PPI,X
322,930,ISTITUTI CL. SCIENTIFICI MAUGERI SPA SB - TRADATE,030930,00,IRCCS CENTRO MEDICO TRADATE,32,ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO - PRIVATO,01/01/1995 12:00:00 AM,,"VIA RONCACCIO, 16",21049,TRADATE,0331829111,0331829155,Senza livello emergenza,
327,726,ASST DI CREMA,030209,00,OSPEDALE MAGGIORE - CREMA,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1969 12:00:00 AM,,"LARGO UGO DOSSENA, 2",26013,CREMA,03732801,0373280337,DEA-PS,
326,326,ATS DI BRESCIA,030368,00,C.TRO RIAB.E.SPALENZA-FOND.DON GNOCCHI,51,CASA DI CURA ACCREDITATA A CONTRATTO,10/01/2006 12:00:00 AM,,"VIA GOLGI, 1",25038,ROVATO,03072451,0307245350,Senza livello emergenza,
326,326,ATS DI BRESCIA,030408,00,CENTRO CLINICO NEMO,51,CASA DI CURA ACCREDITATA A CONTRATTO,09/23/2020 12:00:00 AM,,VIA RICHIEDEI 16,25064,GUSSAGO,0306729100,,Senza livello emergenza,
328,727,ASST DI PAVIA,030203,00,OSPEDALE ASILO VITTORIA - MORTARA,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1984 12:00:00 AM,,STRADA PAVESE 1125,27036,MORTARA,03842041,0384204261,PPI,
327,327,ATS DELLA VAL PADANA,030218,00,CASA DI CURA S. CAMILLO - CREMONA,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/01/1995 12:00:00 AM,,"VIA MANTOVA, 113",26100,CREMONA,0372567111,0372433349,Senza livello emergenza,
322,322,ATS DELL'INSUBRIA,030030,00,OSPEDALE  VALDUCE,4,OSPEDALE CLASSIFICATO,01/01/1984 12:00:00 AM,,VIA DANTE ALIGHIERI 11,22100,COMO,031 324111,031308047,PS,X
322,322,ATS DELL'INSUBRIA,030397,00,CASA DI CURA LE TERRAZZE - CUNARDO,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/01/2016 12:00:00 AM,,"VIA FOSCOLO, 6/B",21035,CUNARDO,0332992111,0332990074,Senza livello emergenza,
327,724,ASST DI CREMONA,030908,00,OSPEDALE DI CREMONA,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1995 12:00:00 AM,,VIA LARGO PRIORI 1,26100,CREMONA,0372405111,0372405552,DEA-PS,X
324,324,ATS DELLA BRIANZA,030033,00,CASA DI CURA BEATO L.TALAMONI-LECCO,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/01/1984 12:00:00 AM,,VIA SAN NICOLO' 12,23900,LECCO,0341274111,0341284033,Senza livello emergenza,
322,710,ASST DEI SETTE LAGHI,030012,00,OSPEDALE CARLO ONDOLI - ANGERA,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1995 12:00:00 AM,,VIA BORDINI 9,21021,ANGERA,0331961292,0331931888,PS,
324,324,ATS DELLA BRIANZA,030107,00,ISTITUTI CLINICI ZUCCHI SPA-MONZA,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/01/1984 12:00:00 AM,,VIA ZUCCHI 24,20900,MONZA,039 83831,039364886,PS,
