ANNO,CODICE ATS RESIDENZA,DESCRIZIONE ATS RESIDENZA,COORDINATA GEOGRAFICA X,COORDINATA GEOGRAFICA Y,POSIZIONE ATS,CODICE_ACC_DI_DIAGNOSI,DESCRIZIONE ACC DI DIAGNOSI,TASSO RICOVERI STESSA ATS,TASSO RICOVERI ALTRA ATS
2019,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),119,VARICI DEGLI ARTI INFERIORI,0.06,0.01
2018,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),91,ALTRI DISTURBI DEGLI OCCHI,0.34,0.15
2012,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),183,"IPERTENSIONE COMPLICANTE LA GRAVIDANZA, IL PARTO E IL PUERPERIO",0.00,0.23
2013,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),47,ALTRI E NON SPECIFICATI TUMORI BENIGNI,0.00,2.02
2012,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),128,ASMA,0.00,0.19
2017,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),107,ARRESTO CARDIACO E FIBRILLAZIONE VENTRICOLARE,0.03,0.00
2016,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),115,"ANEURISMI AORTICI, DELLE ARTERIE PERIFERICHE E VISCERALI",0.25,0.12
2018,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),135,INFEZIONI INTESTINALI,0.77,0.06
2014,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),23,ALTRI TUMORI MALIGNI NON EPITELIALI DELLA CUTE,0.00,0.65
2016,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),96,MALATTIE DELLE VALVOLE CARDIACHE,0.09,0.39
2017,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),217,ALTRE ANOMALIE CONGENITE,0.49,0.09
2018,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),88,GLAUCOMA,0.16,0.01
2014,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),228,FRATTURE DEL CRANIO E DELLA FACCIA,0.00,0.29
2017,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),55,DISORDINI DEI LIQUIDI E DEGLI ELETTROLITI,0.33,0.02
2012,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),663,SCREENING E ANAMNESI PSICHICA E DELL'ABUSO DI SOSTANZE STUPEFACENTI,0.00,0.00
2018,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),103,MALATTIA CARDIOPOLMONARE,0.34,0.10
2012,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),134,ALTRE MALATTIE DELLE VIE RESPIRATORIE SUPERIORI,0.00,1.81
2014,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),242,AVVELENAMENTO DA ALTRI FARMACI E MEDICAMENTI,0.00,0.08
2013,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),661,DISTURBI MENTALI DOVUTI AD ABUSO DI DROGHE,0.00,0.27
2014,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),144,ENTERITE REGIONALE E COLITE ULCEROSA,0.00,0.21
2019,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),206,OSTEOPOROSI,0.00,0.01
2013,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),159,INFEZIONI DELLE VIE URINARIE,0.00,1.00
2015,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),164,IPERPLASIA DELLA PROSTATA,0.00,0.74
2015,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),237,"COMPLICAZIONI DI DISPOSITIVI, IMPIANTI E INNESTI",0.00,0.94
2012,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),25,TUMORI MALIGNI DELL'UTERO,0.00,0.19
2017,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),92,OTITE MEDIA E CONDIZIONI CORRELATE,0.11,0.14
2017,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),81,ALTRI DISTURBI EREDITARI E DEGENERATIVI DEL SISTEMA NERVOSO,0.17,0.15
2017,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),129,POLMONITE DA ASPIRAZIONE DI CIBO O VOMITO,0.14,0.01
2016,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),77,ENCEFALITI (ESCLUSE QUELLE CAUSATE DA TUBERCOLOSI O DA MALATTIE SESSUALMENTE TRASMESSE),0.06,0.01
2017,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),219,"PREMATURITA', IMMATURITA', BASSO PESO ALLA NASCITA E RITARDO DELLA CRESCITA FETALE",0.28,0.07
2019,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),138,DISTURBI DELL'ESOFAGO,0.11,0.04
2013,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),167,MALATTIE DEL SENO NON MALIGNE,0.00,0.21
2015,327,ATS DELLA VAL PADANA,10.02604335,45.1439181,POINT (10.02604335 45.1439181),82,PARALISI,0.00,0.32
2013,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),133,ALTRE MALATTIE DELLE VIE RESPIRATORIE INFERIORI,0.00,0.39
2012,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),167,MALATTIE DEL SENO NON MALIGNE,0.00,0.25
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),135,INFEZIONI INTESTINALI,0.59,0.03
2016,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),655,DISTURBI DELL'ETA' PRE ADULTA,0.01,0.01
2018,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),94,ALTRI DISTURBI DELL'ORECCHIO E DELL'UDITO,0.16,0.05
2014,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),97,"PERI-, ENDO- E MIOCARDITI, CARDIOMIOPATIE (ESCLUSE QUELLE CAUSATE DA TUBERCOLOSI O DA MALATTIE SESSUALMENTE TRASMESSE)",0.00,0.65
2019,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),105,DISTURBI DELLA CONDUZIONE,0.49,0.25
2012,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),220,IPOSSIA INTRAUTERINA E ASFISSIA ALLA NASCITA,0.00,0.09
2013,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),28,TUMORI MALIGNI DI ALTRI ORGANI GENITALI FEMMINILI,0.00,0.05
2012,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),102,DOLORE TORACICO NON SPECIFICO,0.00,0.45
2015,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),89,CECITA' E DIFETTI VISIVI,0.00,0.03
2017,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),164,IPERPLASIA DELLA PROSTATA,0.66,0.14
2016,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),109,VASCULOPATIE CEREBRALI ACUTE,1.57,0.31
2014,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),118,"FLEBITE, TROMBOFLEBITE E TROMBOEMBOLIA",0.00,0.12
2013,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),131,"INSUFFICIENZA RESPIRATORIA, ARRESTO RESPIRATORIO (ADULTI)",0.00,2.58
2017,324,ATS DELLA BRIANZA,9.298423314,45.69919245,POINT (9.298423314 45.69919245),183,"IPERTENSIONE COMPLICANTE LA GRAVIDANZA, IL PARTO E IL PUERPERIO",0.18,0.05
2013,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),203,OSTEOARTROSI,0.00,2.07
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),234,SCHIACCIAMENTO O TRAUMATISMO INTERNO,0.15,0.03
2018,326,ATS DI BRESCIA,10.25368782,45.65171815,POINT (10.25368782 45.65171815),245,SINCOPE,0.65,0.01
2012,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),659,SCHIZOFRENIA E DISTURBI CORRELATI,0.00,1.01
2012,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),147,MALATTIE DEL RETTO E DELL'ANO,0.00,0.68
2015,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),94,ALTRI DISTURBI DELL'ORECCHIO E DELL'UDITO,0.00,0.17
2016,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),254,"CURE RIABILITATIVE, COLLOCAZIONE DI PROTESI E SISTEMAZIONE DI DISPOSITIVI",0.14,0.07
2013,322,ATS DELL'INSUBRIA,8.837196022,45.80802245,POINT (8.837196022 45.80802245),152,DISTURBI DEL PANCREAS (ESCLUSO DIABETE),0.00,0.30
2019,325,ATS DI BERGAMO,9.63853045,45.68701679,POINT (9.63853045 45.68701679),6,EPATITE,0.08,0.01
2016,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,9.198811423,45.44410928,POINT (9.198811423 45.44410928),146,DIVERTICOLOSI E DIVERTICOLITE,0.53,0.05
2014,323,ATS DELLA MONTAGNA,10.32968894,46.33431031,POINT (10.32968894 46.33431031),184,MINACCIA O TRAVAGLIO DI PARTO PRECOCE,0.00,0.61
2016,328,ATS DI PAVIA,9.14034225,45.20086141,POINT (9.14034225 45.20086141),96,MALATTIE DELLE VALVOLE CARDIACHE,0.39,0.28
